Venture Name,CDL Objective Setter (fit),CDL Critiquer (fit),CDL Total Fit,ION Objective Setter (fit),ION Critiquer (fit),ION Total Fit,Difference in OS,Difference in CR,Delta,Outcome,Startup Objectives/Needs,Needs Relevance to Mentor Capabilities,Model Reasoning
A&B Smart Materials,Lisa Aberg (0.62),Julien Venturini (0.69),1.31,Julien Venturini (0.69),Michael Wilshire (0.68),1.37,+0.07,-0.01,+0.06,Better,"Update the roadmap, strategic goals, and hiring plan to support an increased fundraising round and potential early sales 
 Complete hiring for immediate roles and advance the identification and recruitment of highly specialized staff.","**Objective Setter**: Obj 1: Scaling experience and fundraising context from growing/selling startup | Obj 2: General scaling/hiring experience but no specific technical recruitment expertise shown | Obj 3: No objective provided
**Critiquer**: Obj 1: Strong strategic planning and fundraising expertise from McKinsey and BNEF roles | Obj 2: No explicit hiring/recruitment expertise mentioned; generic advisory experience only | Obj 3: Materials and clean tech tags suggest sector familiarity but lack specific technical depth for polymer technology acceleration","**Objective Setter**: Mentor has strong relevant experience in sustainable innovation and scaling industrial technology companies, directly applicable to objectives 1 and 2. The 20+ years in sustainable innovation and experience selling a 100+ employee startup provides credible expertise for roadmap/fundraising strategy and navigating early commercial adoption challenges. However, limited evidence of specific expertise in specialized technical hiring or SAP chemistry reduces alignment with the technical talent acquisition challenge.
**Critiquer**: The mentor has strong strategic and fundraising expertise (ex-McKinsey Partner, former Global Head of Analysis at BNEF) that directly supports Objective 1 (roadmap/fundraising/sales planning). Their clean tech and materials sector experience provides relevant domain context for SAPs. However, there is limited evidence of direct hiring/recruitment expertise for Objective 2, and no clear indication of technical depth in polymer chemistry or manufacturing scale-up to address the technology acceleration challenge."
Aerleum,Magali Anderson (0.99),Caroline Bergaud (0.47),1.46,Magali Anderson (0.99),Lisa Aberg (1.00),1.99,+0.00,+0.53,+0.53,Better,"Confirm the value of small-volume, high-premium prospects by conducting five discovery calls from a list of 100 chemical companies using methanol or derivatives. 
 De-risk the go-to-market model by benchmarking against three peer companies from different industries. 
 Finalizing the HR roadmap and conducting at least three final interviews for the Senior Process Engineer, a current key hire.","**Objective Setter**: Obj 1: Industrial operations experience and board roles provide credible insight into chemical industry customer discovery and value proposition validation | Obj 2: Chief Sustainability & Innovation Officer role and board memberships offer strong benchmarking perspective across industries for go-to-market de-risking | Obj 3: General executive experience may help with hiring strategy, but no specific HR or process engineering recruitment expertise evident
**Critiquer**: Obj 1: Industrial focus may help but no direct chemical/methanol market expertise shown | Obj 2: McKinsey consulting background directly applicable to benchmarking and GTM strategy | Obj 3: No evidence of technical hiring or process engineering recruitment experience","**Objective Setter**: Mentor has strong industrial operations and sustainability strategy experience relevant to objectives 1 and 2 (customer discovery in chemicals, go-to-market benchmarking). Board-level perspective and 27+ years in industrial sectors provide credible guidance for validating customer segments and designing commercial strategy. Limited direct evidence for objective 3 (HR/hiring support).
**Critiquer**: The mentor's 27 years as McKinsey Senior Partner with sustainability and industrial focus provides credible expertise for benchmarking go-to-market models (objective 2) and potentially validating customer segments in industrial chemicals. However, there is no evidence of direct experience in chemical industry customer discovery, methanol markets, or technical hiring for process engineering roles, limiting alignment with objectives 1 and 3."
Biohalo Aps,Laurent Bertiau (0.39),Lisa Aberg (0.50),0.89,Julien Venturini (0.85),Lisa Aberg (0.50),1.35,+0.46,+0.00,+0.46,Better,"Complete a preliminary Life Cycle Assessment (LCA) of 2 FMA, devise a detailed REACH registration strategy with a concrete timeline, and secure at least 2 qualified partners to implement the strategy. 
 Produce a 24 month R&D and manufacturing roadmap that includes a budget, key milestones, resource allocation, and risk mitigation measures. 
 Refine the business plan for 2 FMA coating applications to include market sizing, competitive analysis, revenue forecasts, GTM strategy, and a clear break even point.","**Objective Setter**: Obj 1: Strategic partnerships experience may help secure REACH partners; no LCA or regulatory expertise evident | Obj 2: No evidence of R&D roadmap, manufacturing planning, or fermentation/biotech operations expertise | Obj 3: Business development and clean tech background support market strategy; lacks coating application specifics
**Critiquer**: Obj 1: No evidence of REACH regulatory or LCA expertise | Obj 2: Strategic planning experience applicable to roadmap structure and budgeting | Obj 3: Strong strategic consulting background relevant to business plan refinement and market analysis","**Objective Setter**: Mentor has strong sustainability and clean technology expertise relevant to BioHalo's domain, plus business development and strategic partnership experience that could help with REACH partner acquisition (Objective 1) and GTM strategy (Objective 3). However, there is no evidence of specific expertise in LCA execution, REACH regulatory strategy, R&D/manufacturing roadmaps for biotech/fermentation, or coating formulation—the core technical needs expressed in the objectives and CEO update.
**Critiquer**: The mentor's sustainability and industrial focus from 27 years at McKinsey provides credible strategic guidance for Objective 3 (business plan refinement) and potentially Objective 2 (R&D roadmap). However, there is no evidence of specific expertise in REACH regulatory strategy, LCA execution, fermentation scaling, bioreactor sourcing, or coating formulation—the most pressing current challenges. The fit is moderate for strategic planning but weak for technical and regulatory execution needs."
Caplyzer,Renaud Visage (0.47),Lida Preyma (0.68),1.15,Michael Wilshire (0.69),Lisa Aberg (0.99),1.68,+0.22,+0.31,+0.53,Better,"Secure €1M in commitments by mid-February, focusing on 3-4 of the 6 interested investors. 
 Identify component manufacturing partners and secure quotations by mid-February to build a stable and industrial 25 kW demo unit by June 2026. 
 Develop a facility plan (including space layout, required equipment, locations, and costs) by mid-February, so we can move by April 2026 and begin building the demo unit","**Objective Setter**: Obj 1: Strong investor network and strategic advisory experience relevant to securing €1M commitments | Obj 2: Clean tech expertise provides context, but no explicit manufacturing or component sourcing experience mentioned | Obj 3: Policy and analysis background may inform facility planning indirectly, but no direct operational or facilities expertise evident
**Critiquer**: Obj 1: Advises European green tech investors; deep fundraising networks and climate-tech credibility | Obj 2: No evidence of component manufacturing or H2 supply chain expertise | Obj 3: Industrial focus and consulting background support facility planning and operational strategy","**Objective Setter**: The mentor has strong credentials in clean tech, energy policy, and analysis (ex-BNEF, McKinsey, UK energy policymaker) that align well with the startup's fundraising and strategic positioning needs. However, there is no explicit evidence of expertise in manufacturing partnerships, component sourcing, or facility planning—critical for objectives 2 and 3.
**Critiquer**: The mentor's 27 years as McKinsey Senior Partner with sustainability and industrial focus, plus advisory role to European green tech investors, provides strong credibility for helping with fundraising (Objective 1) and strategic facility planning (Objective 3). However, there is no evidence of expertise in component manufacturing partnerships or electrolyzer-specific supply chain (Objective 2), which is a critical current need."
Ceal Minerals,Magali Anderson (1.00),Arnaud Blandin (0.72),1.72,Magali Anderson (1.00),Caroline Bergaud (1.00),2.00,+0.00,+0.28,+0.28,Better,"Connect with at least 3 European companies by obtaining input from one representative per company on their needs, switching barriers, regulatory requirements, and pilot appetite. 
 Connect with at least 10 European venture capital firms, as part of the next funding round of $5M-$7M. 
 Complete and organize the data room with all necessary documents and materials to meet due diligence requirements for the seed investment round.","**Objective Setter**: Obj 1: Board roles at major European industrial firms provide direct access to target companies in energy/industrial sectors | Obj 2: Sustainability and climate-tech experience relevant but no explicit VC network mentioned; may have indirect connections | Obj 3: Executive and board experience implies familiarity with due diligence but no specific data room expertise stated
**Critiquer**: Obj 1: EU policy expertise and B2B sales experience directly support European company engagement and regulatory navigation | Obj 2: Deep tech fundraising experience and EU government connections facilitate VC introductions for climate tech | Obj 3: General fundraising expertise may help, but no specific data room or due diligence preparation experience mentioned","**Objective Setter**: Mentor has strong industrial and sustainability credentials relevant to objectives 1 and 2. Board experience at Anglo American and former Chief Sustainability Officer at Holcim provides direct access to European industrial networks and climate-tech investment perspectives. However, no explicit venture capital network or data room expertise is evident for objectives 2 and 3.
**Critiquer**: The mentor has strong expertise in EU-funded project coordination and policy influence, which directly addresses the startup's need to connect with European companies and navigate regulatory requirements (objective 1). Their 20+ years of public-private funding expertise and advisor role to EU governments positions them well to facilitate introductions to European VC firms (objective 2). However, there is no explicit evidence of data room preparation or due diligence expertise for objective 3."
Co-Reactive,Jason Van Gaal (0.59),Antoine Le Feuvre (0.28),0.87,Karen Strassel (0.74),Magali Anderson (1.00),1.74,+0.15,+0.72,+0.87,Better,"Begin the construction of the demo plant on January 12 and complete delivery of all components to the Düsseldorf site by January 31, while following the established timeline and budget. 
 Sign an MoU with at least one of the four identified customers in the construction chemicals sector for a long- term (three-year) materials off-take agreement. 
 Recruit a senior materials scientist and a process engineer and prepare a detailed profile for the CFO position, a critical leadership hire.","**Objective Setter**: Obj 1: Technical oversight possible but no construction/project management expertise evident | Obj 2: VC experience may help with commercial strategy; limited direct sales evidence | Obj 3: Strong network in materials science and decarbonization for technical recruitment
**Critiquer**: Obj 1: Operations Management expertise and industrial transformation background support demo plant execution | Obj 2: Direct Holcim experience and sustainable construction expertise highly relevant for construction chemicals customer negotiations | Obj 3: Senior executive experience provides general hiring insights but lacks specific technical recruiting or CFO search expertise","**Objective Setter**: The mentor's deep expertise in decarbonization, materials science, and direct experience as a DAC chemist at Climeworks provides strong credibility for advising on CO2 mineralization technology and materials qualification challenges. While the mentor can offer valuable technical guidance on demonstration plant execution and materials scientist recruitment, there is limited evidence of direct expertise in commercial off-take negotiations or construction project management.
**Critiquer**: Mentor has highly relevant experience as former Chief Sustainability & Innovation Officer at Holcim (a major cement company) and board member at Anglo American, directly aligning with the startup's cement decarbonization focus and construction chemicals customer engagement needs. Strong operational background from 27+ years at Schlumberger provides credible support for demo plant execution challenges, though specific expertise in technical hiring and early-stage CFO recruitment is less evident."
Cura Climate Inc.,Andrew Beswick (0.69),Arnaud Blandin (0.55),1.24,Julian Gray (0.83),Magali Anderson (1.00),1.83,+0.14,+0.45,+0.59,Better,"Deliver a seed financing roadmap that outlines 10 target investors, milestone-linked capital requirements, and timing by January 31, 2026. 
 Produce and validate 50 kg of clinker samples with compositional analysis confirming target phases, and have initiated ASTM testing by December 31, 2025. 
 Start to hire and onboard 3 full-time employees in technical, operations, and business development roles to strengthen execution capacity and customer engagement..","**Objective Setter**: Obj 1: Investment expertise and climate tech networks directly support seed financing roadmap development | Obj 2: No evident technical expertise in cement production or materials validation | Obj 3: General venture scaling experience may help with hiring strategy but lacks specific operational depth
**Critiquer**: Obj 1: Board-level networks and cement industry knowledge directly support investor targeting for seed round | Obj 2: Sustainability innovation background may inform clinker validation strategy, but technical production expertise unclear | Obj 3: Executive experience at Holcim and Schlumberger relevant for hiring operations and business development roles","**Objective Setter**: The mentor's expertise in climate tech investment and deep tech venturing directly addresses CURA's most pressing challenge: raising an $8M seed round in a difficult climate tech funding environment. Their background as a former bp executive and current Managing Partner provides credible networks and strategic guidance for capital-intensive hardware ventures. However, limited detail on cement/industrial decarbonization specifics and hiring/technical operations expertise reduces the score.
**Critiquer**: Mentor's former role as Chief Sustainability & Innovation Officer at Holcim (a cement major) provides exceptional relevance to CURA's seed financing roadmap and industry engagement objectives. Board experience at Anglo American and Capitals Coalition strengthens credibility for investor targeting. However, direct expertise in early-stage hiring and technical clinker validation is less evident."
Enspired Solutions,Caroline Bergaud (1.00),Laurent Bertiau (0.68),1.68,Caroline Bergaud (1.00),Laurent Bertiau (0.68),1.68,+0.00,+0.00,+0.00,Equal,"Negotiate terms with internal investors for convertible note as bridge round to extend operational runway to end of 2026 by January 15th with first close on round by January 30th. 
 Hold introductory calls with up to four firms (potentially Deloitte, EY, PwC, and KPMG) by the end of February 2 to assess governance and IP-sharing considerations for US-EU collaboration, with the goal of beginning EU entity formation in March. 
 Develop a cost and staffing model for mobile PFAS decontamination services and benchmark it against competitors by February to support near-term revenue generation.","**Objective Setter**: Obj 1: Fundraising expertise relevant but focus is internal bridge round, not external strategic funding | Obj 2: Direct EU government advisory experience highly applicable to US-EU collaboration and entity formation | Obj 3: Water treatment tech tag provides domain context but no specific mobile service or cost modeling expertise evident
**Critiquer**: Obj 1: Finance leadership experience relevant to convertible note structuring and investor negotiations | Obj 2: Global finance background may inform governance considerations, but no specific EU entity formation or Big Four consulting expertise evident | Obj 3: No evidence of expertise in cost modeling, staffing for mobile services, or water treatment sector operations","**Objective Setter**: The mentor has strong expertise in public-private funding and EU government advisory work, directly relevant to Objective 2 (EU entity formation and governance). Their 20+ years of fundraising experience also aligns with Objective 1 (bridge round negotiation), though the startup's challenge is specifically with internal investors. Limited direct evidence for Objective 3 (mobile service cost modeling), but water treatment technical background provides some context.
**Critiquer**: Mentor has strong finance leadership experience relevant to Objective 1 (negotiating convertible note terms with internal investors) and potentially useful for assessing financial structuring in Objective 2 (governance considerations for US-EU collaboration). However, there is no evidence of expertise in hard-tech fundraising, PFAS/water treatment sector knowledge, or mobile service cost modeling (Objective 3), limiting actionable help for the startup's specific technical and market challenges."
Er Ocean Recherche,Karen Strassel (0.51),Osnat Michaeli (0.89),1.40,Lisa Aberg (0.69),Osnat Michaeli (0.89),1.58,+0.18,+0.00,+0.18,Better,"Design and implement an optimized operational and commercial workflow, aiming to reduce lead times. 
 Raise €1.2M EUR in funding to extend the company's runway by 48 months and enabling the recruitment of key talent to support product development and operational scaling. 
 Recruit a CTO to lead product development, and R&D, enabling the CEO to dedicate more time to sales and fundraising activities.","**Objective Setter**: Obj 1: McKinsey operational consulting background directly applicable to workflow optimization and industrialization strategy | Obj 2: Advises European green tech investors; strong fundraising guidance for sustainability-focused startup | Obj 3: No evidence of technical recruitment expertise or CTO hiring experience
**Critiquer**: Obj 1: Scaling experience may inform operational workflow design | Obj 2: Investment tag and startup scaling background relevant to fundraising | Obj 3: No evidence of technical recruitment or CTO-level expertise","**Objective Setter**: The mentor's 27 years as McKinsey Senior Partner with sustainability and industrial focus provides strong credibility for fundraising guidance (objective 2) and operational workflow optimization (objective 1). However, there is no evidence of direct CTO recruitment expertise or textile/materials industry experience, limiting alignment with objective 3 and the specific technical hiring needs.
**Critiquer**: The mentor has relevant scaling and brand experience from co-founding Infarm, which could help with operational workflow optimization and fundraising narrative. However, there is no evidence of CTO recruitment expertise, technical R&D leadership, or textile/materials industry knowledge needed for the startup's most critical objectives."
Haliogen Power,Lida Preyma (0.95),Andrew Beswick (0.69),1.64,Lida Preyma (0.95),Lisa Aberg (0.77),1.72,+0.00,+0.08,+0.08,Better,"Develop a comprehensive technology roadmap Pilot plan that clearly defines the scope, dependencies, and expected timelines. 
 Initiate outreach and establish communication with a 20+ prospective investors to generate and track early indications of interest for the £4M to £6M GBP funding round. 
 Build a Techno-Economic Analysis (TEA) model that includes a detailed cost structure, performance assumptions, and sensitivity analysis.","**Objective Setter**: Obj 1: No evidence of technology roadmap or pilot planning expertise | Obj 2: Strong capital markets experience and climate finance network directly support investor outreach | Obj 3: ESG/risk assessment may inform TEA assumptions but no direct techno-economic modeling expertise shown
**Critiquer**: Obj 1: No evidence of technical roadmap or pilot planning expertise in battery systems | Obj 2: Strong investor advisory background and green tech focus directly supports fundraising outreach | Obj 3: McKinsey consulting background suggests analytical capability but no explicit TEA modeling experience shown","**Objective Setter**: The mentor's 25+ years in Canadian capital markets and climate finance expertise directly support objective 2 (investor outreach for £4M-£6M round). Their decarbonization and ESG focus aligns with clean-tech positioning, and COP28/B20 experience may help with pilot partner credibility (addressing the validation bottleneck). However, no direct evidence of technology roadmapping or TEA modeling expertise limits alignment with objectives 1 and 3.
**Critiquer**: Mentor has strong investor advisory and sustainability credentials relevant to objective 2 (investor outreach) and general strategic guidance for clean-tech fundraising. However, lacks demonstrated technical expertise in battery technology roadmaps (objective 1) or techno-economic modeling (objective 3), and profile provides limited detail on hands-on pilot planning or TEA development experience."
