startup_id,mentor_id,FIT2,FIT2_confidence,FIT2_explicability,FIT2_evidence_quotes,FIT2_objective_alignment,FIT2_missing_info_flags
startup_001,MENTOR_001,0.42,0.7,"The mentor has strong legal and transactional expertise in renewables, which could support Objective 3 (IP/USP strategy) and potentially Objective 2 (investor outreach structuring). However, there is no evidence of technical expertise in industrial heat systems or supply chain management, limiting direct help with Objective 1 (24-hour system run) or the supply bottleneck challenge.","[{'from': 'mentor', 'quote': 'General Counsel for EMEA and Global Head of Transactions at Lightsource bp'}, {'from': 'startup', 'quote': 'Develop an IP and USP strategy for the R&D project aimed at optimizing the current heater design'}]","[{'objective': 1, 'alignment': 0.1, 'why': 'No technical or engineering expertise evident for system testing'}, {'objective': 2, 'alignment': 0.55, 'why': 'Transaction experience may help structure investor outreach and deals'}, {'objective': 3, 'alignment': 0.7, 'why': 'Legal background directly relevant to IP strategy development'}]","['No evidence of technical expertise in industrial heating or materials science', 'No explicit experience with supply chain or manufacturing bottlenecks', 'Unclear if mentor has climate-tech fundraising experience beyond solar/wind']"
startup_001,MENTOR_002,0.68,0.75,"Mentor has strong industrial operations and sustainability credentials relevant to decarbonizing industrial heat, but lacks direct technical expertise in power-to-heat systems or heating technology R&D. Strong fit for investor credibility and supply chain challenges (Objectives 2 and bottleneck), moderate fit for IP/USP strategy (Objective 3), weak fit for technical system optimization (Objective 1).","[{'from': 'mentor', 'quote': 'former Chief Sustainability & Innovation Officer at Holcim; 27+ years at Schlumberger including Angola CEO'}, {'from': 'startup', 'quote': 'Supply management remains a bottleneck, limiting the ability to secure components on time and with the required specifications.'}]","[{'objective': 1, 'alignment': 0.35, 'why': 'No direct heating technology or lab-scale technical system expertise evident'}, {'objective': 2, 'alignment': 0.85, 'why': 'Board-level credibility and industrial network highly relevant for investor outreach in climate-tech'}, {'objective': 3, 'alignment': 0.65, 'why': 'Innovation leadership experience applicable to IP/USP strategy, though not heating-specific'}]","['No evidence of technical expertise in power-to-heat or high-temperature heating systems', 'Unclear if mentor has direct experience with early-stage deep-tech fundraising or supply chain for specialized components']"
startup_001,MENTOR_003,0.68,0.72,"Mentor has strong relevance for objectives 2 and 3 through investment expertise and sustainable industrial technology experience, including a successful exit. However, limited evidence of direct technical expertise for the 24-hour continuous heating system challenge (objective 1), which is the most critical current need given the delayed milestone.","[{'from': 'startup', 'quote': 'delayed 24-hour heater test has postponed a critical technology milestone, which is key for de-risking and investor credibility'}, {'from': 'mentor', 'quote': '20+ years developing sustainable innovation; sold 100+ employee startup to Screen Japan'}]","[{'objective': 1, 'alignment': 0.45, 'why': 'Industrial tech background but no specific heating systems or continuous operation expertise evident'}, {'objective': 2, 'alignment': 0.85, 'why': 'Investment operations tag and successful exit experience directly relevant to fundraising in challenging climate-tech market'}, {'objective': 3, 'alignment': 0.75, 'why': 'Sustainable innovation and industrial technology experience applicable to IP/USP strategy development'}]","['No specific technical expertise in high-temperature heating systems or continuous operation testing', 'Unclear if mentor has experience with supply chain management for specialized industrial components']"
startup_001,MENTOR_004,0.68,0.72,"The mentor has strong climate-tech and investment expertise directly relevant to objective 2 (fundraising) and can provide strategic guidance on navigating the challenging fundraising environment. However, there is limited evidence of technical expertise for objective 1 (24-hour system run at 1,100°C) or deep IP/R&D strategy experience for objective 3, reducing overall fit.","[{'from': 'mentor', 'quote': 'venture capital, hedge funds, investment banking; Partnerships Development Director at BRITE Energy Innovators'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical expertise in industrial heating systems or equipment testing'}, {'objective': 2, 'alignment': 0.95, 'why': 'Strong VC and investment banking background directly addresses fundraising and investor outreach needs'}, {'objective': 3, 'alignment': 0.55, 'why': 'Strategic advisory experience may help with commercialization strategy but limited evidence of IP/R&D expertise'}]","[""Mentor's specific experience with deep-tech or hardware startups unclear"", ""No detail on mentor's technical background for industrial heating or equipment development"", 'Unclear if mentor has IP strategy or patent portfolio management experience']"
startup_001,MENTOR_005,0.48,0.65,"The mentor has climate tech expertise and investment/policy experience, which provides some relevance to fundraising challenges (objective 2) and general strategic positioning. However, there is no evidence of direct expertise in industrial heating systems, materials science for high-temperature applications, or supply chain management for hardware startups—critical for objectives 1 and 3 and the technical/operational challenges stated in the CEO update.","[{'from': 'mentor', 'quote': 'Climate Tech'}, {'from': 'mentor', 'quote': 'Investment; Policy Influence; Government Advisory'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of high-temperature heating or hardware testing expertise'}, {'objective': 2, 'alignment': 0.7, 'why': 'Investment experience and climate tech focus relevant to fundraising'}, {'objective': 3, 'alignment': 0.35, 'why': 'Systems design background offers generic relevance but no IP strategy specifics'}]","['No evidence of industrial heat/materials expertise for objective 1', 'No evidence of supply chain management experience for stated bottleneck', 'No evidence of IP strategy development experience for objective 3']"
startup_001,MENTOR_006,0.48,0.65,"The mentor has strong cleantech and renewable energy expertise relevant to Heatrix's industrial decarbonization mission, but lacks direct evidence of technical R&D optimization, IP strategy development, or early-stage fundraising execution. The mentor's ESG and commercial development background offers moderate support for investor outreach (objective 2) but limited actionable help for the 24-hour heater test milestone (objective 1) or IP/USP strategy (objective 3).","[{'from': 'mentor', 'quote': 'Cleantech Commercial Development'}, {'from': 'mentor', 'quote': '20+ years global experience; ESG strategy; worked with ENGIE, Michelin, Temasek'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical R&D or thermal system testing expertise'}, {'objective': 2, 'alignment': 0.65, 'why': 'ESG strategy and corporate partnerships may help frame investor narrative'}, {'objective': 3, 'alignment': 0.35, 'why': 'No explicit IP strategy or R&D optimization experience mentioned'}]","['No evidence of technical R&D or thermal engineering expertise for objective 1', 'No explicit IP strategy or patent development experience for objective 3', 'Unclear if mentor has hands-on early-stage fundraising experience beyond corporate partnerships']"
startup_001,MENTOR_007,0.68,0.75,"The mentor has strong climate-tech investment expertise and startup scaling experience highly relevant to Objective 2 (fundraising in a challenging market). Materials science background provides some credibility for Objective 3 (IP/USP strategy for heater design optimization). However, no direct evidence of expertise in industrial heating systems, continuous high-temperature operations, or supply chain management for hardware startups, limiting alignment with Objective 1 and the supply bottleneck challenge.","[{'from': 'mentor', 'quote': 'Managing Director Breakthrough Energy Ventures Europe'}, {'from': 'mentor', 'quote': 'PhD Materials Science'}]","[{'objective': 1, 'alignment': 0.45, 'why': 'Materials science background relevant but no industrial heating expertise evident'}, {'objective': 2, 'alignment': 0.85, 'why': 'Climate-tech investment leadership directly addresses fundraising challenges in current market'}, {'objective': 3, 'alignment': 0.65, 'why': 'Materials science PhD and deep-tech experience support IP strategy development'}]","['No evidence of industrial process heating expertise', 'No supply chain management experience mentioned', 'Unclear if mentor has hardware/equipment manufacturing background']"
startup_001,MENTOR_008,0.68,0.75,"The mentor's 27 years as McKinsey Senior Partner with sustainability and industrial focus provides strong credibility for fundraising strategy (objective 2) and navigating climate-tech investor challenges. However, there is no evidence of technical expertise for the 24-hour heater test milestone (objective 1) or specific IP/USP strategy development experience (objective 3).","[{'from': 'mentor', 'quote': '27 years McKinsey Senior Partner; sustainability & industrial focus; advises European green tech investors'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No technical or engineering expertise evident for heater testing milestone'}, {'objective': 2, 'alignment': 0.95, 'why': 'Strong investor advisory background directly addresses fundraising and climate-tech market challenges'}, {'objective': 3, 'alignment': 0.45, 'why': 'Strategic consulting experience may help with IP strategy, but no specific R&D or patent expertise shown'}]","['No evidence of technical/engineering expertise for objective 1', 'No specific IP strategy or patent development experience mentioned for objective 3']"
startup_001,MENTOR_009,0.68,0.75,"The mentor has strong alignment with objective 3 (IP/USP strategy) through 'Strategic IP Management' expertise and deep-tech startup program management experience. There is moderate alignment with objective 2 (fundraising) via startup scaling expertise, though no direct investor network evidence is provided. No credible linkage exists for objective 1 (technical system demonstration at 1,100°C).","[{'from': 'mentor', 'quote': 'Strategic IP Management'}, {'from': 'mentor', 'quote': 'Manages deep-tech startup programs at CEA-Liten'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of expertise in high-temperature heating systems or industrial heat technology'}, {'objective': 2, 'alignment': 0.65, 'why': 'Startup scaling experience relevant to fundraising, though no explicit investor network mentioned'}, {'objective': 3, 'alignment': 0.95, 'why': 'Direct expertise in Strategic IP Management for deep-tech R&D projects'}]","[""No evidence of mentor's investor network or fundraising track record"", 'No technical expertise in industrial heating or thermal systems', ""Limited detail on mentor's specific achievements in IP strategy outcomes""]"
startup_001,MENTOR_010,0.42,0.65,"The mentor has clean technology investment experience and startup scaling expertise, which could help with objective 2 (fundraising in a challenging climate-tech market). However, there is no evidence of technical expertise in industrial heating systems, materials science, or IP strategy relevant to objectives 1 and 3. The mentor's background in data centers and applied AI does not directly address the startup's current technical bottlenecks or R&D optimization needs.","[{'from': 'mentor', 'quote': 'Clean Technology'}, {'from': 'mentor', 'quote': 'Startup Scaling; Investment'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of technical expertise in high-temperature heating systems or materials testing'}, {'objective': 2, 'alignment': 0.75, 'why': 'Investment experience and clean-tech focus directly relevant to fundraising challenges'}, {'objective': 3, 'alignment': 0.2, 'why': 'No evidence of IP strategy or R&D optimization expertise in industrial heating domain'}]","[""No details on mentor's specific clean technology investment focus or portfolio companies"", ""No information on mentor's technical depth in industrial processes or deep-tech hardware"", ""Insufficient detail on mentor's IP strategy experience""]"
