startup_id,mentor_id,FIT1,FIT1_confidence,FIT1_explicability,FIT1_evidence_quotes,FIT1_match_drivers,FIT1_missing_info_flags
startup_001,MENTOR_001,0.58,0.7,"Moderate overlap exists between Heatrix's industrial decarbonization mission and Alexandra's deep renewables/energy sector expertise. Her transactional, legal, and policy experience in energy could support Heatrix's scaling ambitions, though her solar/wind focus differs from industrial heat technology. The match is functional (legal, transactions, policy) rather than domain-specific (industrial heat equipment).","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'General Counsel for EMEA and Global Head of Transactions at Lightsource bp; 17+ years in renewables'}]","['Energy sector decarbonization alignment', 'Legal and transactional expertise for scaling', 'Policy influence relevant to industrial energy transition', 'Renewables experience applicable to power-to-heat context']","[""Mentor's specific experience with industrial clients or manufacturing"", ""Mentor's familiarity with equipment manufacturing business models"", ""Startup's current legal/regulatory challenges or transaction needs""]"
startup_001,MENTOR_002,0.78,0.85,"Strong domain alignment between Heatrix's industrial decarbonization mission and Magali Anderson's extensive experience in industrial transformation, sustainability strategy, and operations at scale. Her board-level perspective at Anglo American (mining/industrial sector) and former Chief Sustainability Officer role at Holcim (cement/construction materials requiring high-temperature processes) directly overlap with Heatrix's goal to decarbonize industrial heat up to 1500°C and scale to multinational operations.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'Chief Sustainability & Innovation Officer at Holcim'}]","['Industrial decarbonization expertise', 'Sustainability strategy at industrial scale', 'Operations in heavy industry (cement, mining)', 'Multinational scaling experience']",[]
startup_001,MENTOR_003,0.78,0.72,Strong domain alignment between Heatrix's industrial decarbonization technology and Julien's 20+ years in sustainable innovation and clean/industrial technology. His experience scaling and exiting a 100+ employee startup provides relevant operational context for Heatrix's multinational ambitions. The match is strong but confidence is moderated by limited detail on Julien's specific industrial heat or manufacturing expertise.,"[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': '20+ years developing sustainable innovation; sold 100+ employee startup to Screen Japan'}]","['Sustainability and clean technology focus', 'Industrial technology domain overlap', 'Scaling experience to 100+ employees', 'Strategic exit and multinational growth context']","['Specific industrial heat or high-temperature process expertise', ""Details on mentor's equipment manufacturing experience"", ""Geographic market overlap (Germany vs mentor's markets)""]"
startup_001,MENTOR_004,0.72,0.75,"Strong domain alignment exists between Heatrix's industrial decarbonization mission and Elizabeth Grier's climate tech and energy transition expertise. Her experience in venture capital, investment banking, and startup scaling directly matches Heatrix's growth trajectory toward becoming a multinational company with €2.6B revenue targets. The BRITE Energy Innovators affiliation specifically indicates relevant clean energy sector networks.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'Climate Tech; Energy Transition'}]","['Climate tech and energy transition domain expertise', 'Financial services and venture capital experience for scaling', 'BRITE Energy Innovators network in clean energy sector', 'Investment and startup scaling operational knowledge']","[""Mentor's specific experience with industrial heat or manufacturing sectors"", ""Mentor's geographic focus (Europe vs. global)"", ""Depth of mentor's technical understanding of power-to-heat technologies""]"
startup_001,MENTOR_005,0.68,0.72,"Strong domain alignment exists: Heatrix operates in climate tech (industrial decarbonization), and Jason has explicit climate tech expertise plus policy/government advisory experience valuable for scaling industrial equipment. However, mentor's quantum and systems design engineering tags show limited direct overlap with power-to-heat technology, and no evidence of industrial manufacturing or thermal systems expertise is provided.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'Climate Tech; Investment; Policy Influence; Government Advisory'}]","['Climate tech / decarbonization domain alignment', 'Policy & government advisory for industrial scale-up', 'Investment expertise for capital-intensive equipment business']","[""No evidence of mentor's industrial manufacturing experience"", 'No evidence of thermal/heat systems technical expertise', ""Limited detail on mentor's specific climate tech focus areas""]"
startup_001,MENTOR_006,0.72,0.78,"Strong domain alignment exists between Heatrix's industrial decarbonization mission and Arnaud's 20+ years in renewable energy, ESG strategy, and cleantech commercial development. His experience with major energy players like ENGIE directly relates to Heatrix's target market for industrial heat solutions. The match is strong but not exceptional due to limited detail on Arnaud's specific technical depth in high-temperature industrial processes.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': '20+ years global experience; ESG strategy; worked with ENGIE, Michelin, Temasek'}]","['Renewable energy systems expertise matches decarbonization focus', 'Cleantech commercial development aligns with equipment manufacturing scale-up', 'ENGIE experience relevant to industrial energy customers', 'ESG/sustainability strategy fits CO2 reduction mission']","[""Mentor's specific experience with industrial heat or manufacturing sectors unclear"", 'Depth of technical knowledge in power-to-heat technologies not specified']"
startup_001,MENTOR_007,0.72,0.78,Strong domain alignment exists between Heatrix's industrial decarbonization mission and Gaetan's climate tech investment focus at Breakthrough Energy Ventures Europe. His materials science PhD and experience scaling a cleantech hardware company (Kurion) to $350M acquisition provide relevant technical and operational expertise for an equipment manufacturer targeting industrial heat applications.,"[{'from': 'startup', 'quote': 'equipment manufacturer developing an efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'Co-founder & CTO of Kurion; Fukushima deployment; acquired by Veolia for $350M; PhD Materials Science'}]","['Climate tech/decarbonization domain alignment', 'Materials science expertise for high-temp applications', 'Hardware scaling experience (Kurion exit)', 'Investment perspective for growth-stage cleantech']","[""Heatrix's specific technology approach and current stage"", ""Gaetan's specific involvement areas in materials/thermal systems"", ""Details on Heatrix team's technical background""]"
startup_001,MENTOR_008,0.72,0.75,"Strong domain alignment exists between Heatrix's industrial decarbonization mission and Lisa Aberg's 27-year McKinsey background in sustainability and industrial sectors, plus her climate tech focus and advisory work with European green tech investors. The mentor's M&A and consulting expertise could support Heatrix's multinational scaling ambitions, though specific technical heat technology experience is not evident.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': '27 years McKinsey Senior Partner; sustainability & industrial focus; advises European green tech investors'}]","['Industrial sustainability expertise', 'Climate tech investor advisory experience', 'M&A skills for multinational scaling', 'European green tech ecosystem knowledge']","[""Mentor's specific experience with manufacturing or hardware companies"", ""Mentor's knowledge of power-to-heat or thermal technologies"", ""Details on mentor's board roles in similar sectors""]"
startup_001,MENTOR_009,0.58,0.65,"Moderate overlap exists between Heatrix's industrial heat technology and Céline's deep-tech startup scaling expertise at CEA-Liten. Her semiconductor and materials background (Silicon Carbide operates at high temperatures) provides some technical relevance to high-temperature industrial applications. However, the connection is indirect; her primary value appears operational (startup scaling, IP management) rather than domain-specific to power-to-heat or industrial decarbonization.","[{'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}, {'from': 'mentor', 'quote': 'Manages deep-tech startup programs at CEA-Liten; Semiconductor Technology; Silicon Carbide'}]","['Deep-tech startup scaling expertise', 'Materials science background (SiC high-temp relevance)', 'Strategic IP management for hardware companies', 'CEA industrial research ecosystem access']","[""Mentor's specific experience with energy/thermal systems"", ""Mentor's track record with hardware manufacturing startups"", ""Startup's current stage and specific operational challenges""]"
startup_001,MENTOR_010,0.58,0.65,"Moderate overlap exists through clean technology focus and scaling expertise. Jason's clean tech investment experience and startup scaling background align with Heatrix's growth ambitions from equipment manufacturer to multinational. However, his data center/infrastructure focus doesn't directly match industrial heat decarbonization, and no evidence of deep domain expertise in industrial processes or power-to-heat technology.","[{'from': 'mentor', 'quote': 'Clean Technology; Applied AI'}, {'from': 'startup', 'quote': 'efficient power-to-heat solution to decarbonize industrial heat up to 1500°C'}]","['Clean technology investment focus', 'Startup scaling operational experience', 'Serial entrepreneur with exit experience', 'Investment perspective for growth stage']","[""Mentor's specific clean tech domain experience unclear"", 'No evidence of industrial manufacturing or thermal systems expertise', ""Limited detail on mentor's operational involvement vs. investment-only role""]"
